Trade_ID,Ticker,Status,Open_Date,Close_Date, Shares , Avg_Entry , Avg_Exit 
2025-1,NVDA,Closed,11/16/23,1/29/25,652,110.44,$125.34 
2025-2,PLTR,Closed,8/8/24,2/27/25,"2,282.00",65.16,$74.58 
2025-3,RDDT,Closed,10/2/24,2/20/25,886,133.5,$152.62 
2025-4,DECK,Closed,11/8/24,1/31/25,150,180.85,$182.84 
2025-5,ALAB,Closed,11/13/24,1/27/25,467,108.59,$97.85 
2025-6,NET,Closed,1/2/25,1/10/25,198,114.46,$109.82 
2025-7,APP,Closed,1/2/25,1/7/25,66,339.75,$327.52 
2025-8,SPOT,Closed,1/2/25,2/3/25,67,469.52,$531.57 
2025-9,IBKR,Closed,1/2/25,1/27/25,120,182.45,$201.98 
2025-10,GEV,Closed,1/3/25,1/27/25,75,351.4,$356.86 
2025-11,MSTR,Closed,1/3/25,1/7/25,20,358.68,$357.48 
2025-12,ASAN,Closed,1/8/25,1/27/25,"1,098.00",19.49,$20.05 
2025-13,APP,Closed,1/13/25,1/27/25,66,315.14,$337.03 
2025-14,CAVA,Closed,1/14/25,2/19/25,337,122.35,$123.49 
2025-15,KVYO,Closed,1/14/25,1/22/25,130,39.45,$42.13 
2025-16,ISRG,Closed,1/28/25,1/31/25,26,572.67,$573.26 
2025-17,GRMN,Closed,1/28/25,1/29/25,100,220.15,$215.90 
2025-18,LULU,Closed,1/28/25,2/3/25,52,412.67,$403.41 
2025-19,DOCS,Closed,1/28/25,2/27/25,793,65.24,$72.31 
2025-20,SE,Closed,1/28/25,2/20/25,175,121.19,$131.74 
2025-21,APP,Closed,1/29/25,2/20/25,88,390.2,$427.96 
2025-22,XYZ,Closed,1/29/25,2/4/25,225,89.73,$85.70 
2025-23,UAL,Closed,1/29/25,1/31/25,210,108.48,$106.47 
2025-24,SHOP,Closed,1/30/25,1/31/25,200,119.49,$116.47 
2025-25,SNOW,Closed,1/31/25,2/5/25,120,185.51,$183.73 
2025-26,NFLX,Closed,2/3/25,2/18/25,23,983.61,"$1,035.18 "
2025-27,COST,Closed,2/3/25,2/10/25,12,994.27,"$1,049.91 "
2025-28,IBKR,Closed,2/3/25,2/5/25,90,223.73,$224.07 
2025-29,ISRG,Closed,2/4/25,2/5/25,36,591.35,$588.21 
2025-30,IOT,Closed,2/5/25,2/19/25,623,55.3,$58.58 
2025-31,AXON,Closed,2/5/25,2/10/25,33,678.93,$675.00 
2025-32,DUOL,Closed,2/12/25,2/18/25,45,386,$428.82 
2025-33,ARKK,Closed,2/12/25,2/19/25,540,62.56,$67.13 
2025-34,SHOP,Closed,2/12/25,2/18/25,144,122,$126.92 
2025-35,SNOW,Closed,2/12/25,2/13/25,93,187.92,$192.21 
2025-36,GTLB,Closed,2/12/25,2/13/25,246,70.32,$70.52 
2025-37,AXON,Closed,2/14/25,2/19/25,54,675.09,$669.96 
2025-38,TWLO,Closed,2/18/25,2/19/25,154,125.43,$120.40 
2025-39,META,Closed,2/19/25,2/20/25,51,699.14,$696.95 
2025-40,ARKK,Closed,2/19/25,2/19/25,540,66.66,$65.51 
2025-41,PLTR,Closed,2/20/25,2/21/25,155,105.09,$101.75 
2025-42,META,Closed,2/25/25,2/27/25,48,658.93,$658.70 
2025-43,NFLX,Closed,2/25/25,2/27/25,32,977.13,$964.00 
2025-44,SPOT,Closed,2/26/25,2/27/25,52,605.43,$592.25 
2025-45,TQQQ,Closed,2/28/25,3/3/25,684,71.56,$70.00 
2025-46,TSLA,Closed,2/28/25,3/3/25,93,291.21,$281.33 
2025-47,NFLX,Closed,2/28/25,3/3/25,30,975.79,$968.76 
2025-48,NET,Closed,2/28/25,3/3/25,105,143.32,$142.79 
2025-49,PLTR,Closed,3/3/25,3/3/25,340,88.96,$83.16 
2025-50,TQQQ,Closed,3/19/25,3/20/25,243,61.91,$61.06 
2025-51,DASH,Closed,3/19/25,3/20/25,80,190.52,$191.20 
2025-52,TQQQ,Closed,3/24/25,3/26/25,240,65.21,$64.44 
2025-53,PLTR,Closed,3/24/25,3/28/25,377,94.41,$90.54 
2025-54,UPRO,Closed,3/24/25,1/0/00,239,79.87,$80.31 
2025-55,DOCS,Closed,3/25/25,3/26/25,225,67.19,$64.21 
2025-56,SPOT,Closed,3/27/25,3/28/25,27,582.33,$584.79 
2025-57,TQQQ,Closed,4/11/25,4/16/25,78,48.51,$47.06 
2025-58,QQQ,Closed,4/11/25,4/15/25,33,454.21,$460.81 
2025-59,HOOD,Closed,4/11/25,4/16/25,327,43.6,$41.51 
2025-60,PLTR,Closed,4/11/25,4/16/25,225,95.6,$92.53 
2025-61,TQQQ,Closed,4/22/25,7/11/25,"1,423.00",64.61,$74.38 
2025-62,HOOD,Closed,4/23/25,11/7/25,"3,045.00",84.29,$101.10 
2025-63,PLTR,Closed,4/23/25,9/4/25,"1,100.00",134.96,$147.22 
2025-64,SPOT,Closed,4/23/25,4/29/25,25,607.49,$558.30 
2025-65,DASH,Closed,4/23/25,5/7/25,81,186.11,$184.55 
2025-66,TSLA,Closed,4/28/25,4/29/25,26,294.34,$280.90 
2025-67,SPOT,Closed,4/29/25,7/18/25,107,637.99,$669.23 
2025-68,GEV,Closed,4/30/25,8/20/25,174,476.32,$598.82 
2025-69,HIMS,Closed,4/30/25,6/23/25,"1,555.00",49.15,$49.14 
2025-70,BKNG,Closed,4/30/25,5/9/25,3,"5,039.17","$5,112.61 "
2025-71,ODD,Closed,5/1/25,5/13/25,351,62.91,$61.98 
2025-72,RBRK,Closed,5/5/25,6/10/25,354,83.83,$90.27 
2025-73,FETH,Closed,5/8/25,5/14/25,334,22.32,$26.15 
2025-74,TSLA,Closed,5/9/25,6/5/25,93,313.22,$314.27 
2025-75,GDX,Closed,5/9/25,5/12/25,657,50.17,$47.78 
2025-76,CRWV,Closed,5/12/25,7/29/25,900,111.86,$133.33 
2025-77,UBER,Closed,5/12/25,5/20/25,315,86.68,$91.46 
2025-78,RBLX,Closed,5/12/25,5/20/25,336,74.3,$81.16 
2025-79,NVDA,Closed,5/13/25,8/20/25,500,142.72,$171.78 
2025-80,NFLX,Closed,5/14/25,1/0/00,25,"1,154.04","$1,185.73 "
2025-81,BIRK,Closed,5/16/25,5/16/25,327,58.07,$56.90 
2025-82,BROS,Closed,5/16/25,5/19/25,393,72.86,$73.15 
2025-83,APP,Closed,5/19/25,5/20/25,54,372.64,$368.51 
2025-84,DUOL,Closed,5/20/25,5/20/25,15,526.61,$521.40 
2025-85,META,Closed,5/21/25,5/21/25,63,644.81,$633.29 
2025-86,TOST,Closed,5/22/25,5/23/25,699,42.82,$42.56 
2025-87,IBIT,Closed,5/22/25,5/23/25,150,62.5,$61.63 
2025-88,SE,Closed,5/23/25,5/29/25,125,165.03,$160.78 
2025-89,OKLO,Closed,5/27/25,5/29/25,768,52.72,$52.27 
2025-90,AS,Closed,5/27/25,5/29/25,525,38.29,$36.73 
2025-91,LTBR,Closed,5/28/25,5/28/25,500,17.32,$16.80 
2025-92,DUOL,Closed,5/30/25,6/9/25,81,504.35,$499.14 
2025-93,NBIS,Closed,6/5/25,6/20/25,466,48.15,$48.09 
2025-94,ETOR,Closed,6/5/25,6/5/25,348,69.5,$63.38 
2025-95,VIK,Closed,6/6/25,6/9/25,452,48.59,$48.54 
2025-96,ETOR,Closed,6/9/25,6/11/25,126,69.33,$65.00 
2025-97,OKLO,Closed,6/9/25,6/20/25,585,57.75,$57.87 
2025-98,AMZN,Closed,6/9/25,6/11/25,160,216.48,$214.59 
2025-99,NRG,Closed,6/11/25,6/17/25,159,151.1,$151.91 
2025-100,SHOP,Closed,6/11/25,6/12/25,215,112.69,$109.77 
2025-101,BROS,Closed,6/23/25,6/26/25,675,68.8,$66.48 
2025-102,RBRK,Closed,6/23/25,6/24/25,390,89.29,$89.16 
2025-103,NET,Closed,6/23/25,7/10/25,235,183.88,$184.45 
2025-104,CRCL,Closed,6/26/25,6/27/25,90,209.33,$202.81 
2025-105,CHYM,Closed,6/30/25,7/2/25,420,33.34,$31.25 
2025-106,AMD,Closed,7/1/25,8/20/25,653,157.88,$168.64 
2025-107,CRDO,Closed,7/3/25,7/18/25,542,93.06,$91.20 
2025-108,SHOP,Closed,7/3/25,7/8/25,246,117.01,$111.90 
2025-109,ARKK,Closed,7/9/25,7/11/25,210,72.22,$72.71 
2025-110,CRCL,Closed,7/8/25,7/11/25,85,196.32,$195.12 
2025-111,FNGO,Closed,7/14/25,7/16/25,425,108.74,$108.23 
2025-112,TQQQ,Closed,7/16/25,7/22/25,563,85.65,$86.53 
2025-113,ETHU,Closed,7/17/25,8/4/25,134,112.42,$112.65 
