,,LTD %,,,,
Day,"LTD
% Change",10SMA%,21SMA%,50SMA%,SPY LTD %, NDX LTD % 
9/2/24,0.00%,,,,0%,
9/3/24,0.00%,,,,-2.06%,-3.26%
9/4/24,13.42%,,,,-2.26%,-3.55%
9/5/24,13.97%,,,,-2.50%,-3.31%
9/6/24,11.86%,,,,-4.14%,-5.77%
9/9/24,14.23%,,,,-3.06%,-4.68%
9/10/24,14.71%,,,,-2.64%,-3.88%
9/11/24,17.11%,,,,-1.64%,-1.80%
9/12/24,18.47%,,,,-0.81%,-0.81%
9/13/24,18.59%,12%,,,-0.30%,-0.17%
9/16/24,17.61%,14%,,,-0.15%,-0.69%
9/17/24,17.10%,16%,,,-0.11%,-0.48%
9/18/24,16.60%,16%,,,-0.40%,-0.79%
9/19/24,20.51%,17%,,,1.30%,1.70%
9/20/24,20.15%,18%,,,1.12%,1.32%
9/23/24,21.07%,18%,,,1.37%,1.47%
9/24/24,23.14%,19%,,,1.66%,2.04%
9/25/24,24.69%,20%,,,1.44%,2.08%
9/26/24,24.94%,20%,,,1.84%,2.69%
9/27/24,21.17%,21%,,,1.69%,2.29%
9/30/24,20.91%,21%,17%,,2.10%,2.68%
10/1/24,18.97%,21%,18%,,1.19%,1.11%
10/2/24,19.77%,22%,19%,,1.23%,1.19%
10/3/24,22.31%,22%,19%,,1.04%,1.16%
10/4/24,26.99%,22%,20%,,1.96%,2.39%
10/7/24,25.60%,23%,20%,,1.04%,1.19%
10/8/24,32.39%,24%,21%,,2.00%,2.65%
10/9/24,33.57%,25%,22%,,2.70%,3.26%
10/10/24,33.27%,25%,23%,,2.52%,3.23%
10/11/24,36.75%,27%,24%,,3.14%,3.55%
10/14/24,38.22%,29%,25%,,3.98%,4.45%
10/15/24,30.16%,30%,25%,,3.17%,3.40%
10/16/24,33.04%,31%,26%,,3.62%,3.69%
10/17/24,32.99%,32%,27%,,3.63%,3.73%
10/18/24,34.51%,33%,27%,,4.03%,4.38%
10/21/24,35.47%,34%,28%,,3.86%,4.67%
10/22/24,35.10%,34%,29%,,3.80%,4.85%
10/23/24,30.75%,34%,29%,,2.85%,3.18%
10/24/24,31.69%,34%,29%,,3.08%,3.96%
10/25/24,32.27%,33%,30%,,3.04%,4.54%
10/28/24,32.11%,33%,30%,,3.36%,4.82%
10/29/24,31.75%,33%,31%,,3.53%,5.64%
10/30/24,35.03%,33%,32%,,3.21%,5.05%
10/31/24,31.14%,33%,32%,,1.19%,2.15%
11/1/24,30.41%,33%,33%,,1.62%,2.97%
11/4/24,29.83%,32%,33%,,1.40%,2.63%
11/5/24,36.50%,32%,33%,,2.62%,4.10%
11/6/24,40.81%,33%,34%,,5.18%,7.17%
11/7/24,45.24%,35%,34%,,5.99%,8.78%
