Date,Account,Description,Transaction Type,Symbol,Quantity,Price
11/20/25,CanSlim,ADVANCED MICRO DEVICES,Buy,AMD,40,231.24
11/20/25,CanSlim,ROBINHOOD MARKETS INC - A,Buy,HOOD,76,121.93
11/20/25,CanSlim,NEBIUS GROUP NV,Buy,NBIS,92,100.615
11/20/25,CanSlim,WESTERN DIGITAL CORP,Buy,WDC,58,159.77
11/20/25,CanSlim,NVIDIA CORP,Buy,NVDA,50,195.208
11/20/25,CanSlim,GE VERNOVA INC,Buy,GEV,8,622.38
11/20/25,CanSlim,GE VERNOVA INC,Buy,GEV,7,622.371
11/20/25,CanSlim,WESTERN DIGITAL CORP,Sell,WDC,-58,147.9
11/20/25,CanSlim,ROBINHOOD MARKETS INC - A,Sell,HOOD,-76,113.008
11/20/25,CanSlim,NEBIUS GROUP NV,Sell,NBIS,-92,92.728
11/20/25,CanSlim,GE VERNOVA INC,Sell,GEV,-15,588.295
11/20/25,CanSlim,ADVANCED MICRO DEVICES,Sell,AMD,-40,211.71
11/20/25,CanSlim,ALPHABET INC-CL A,Sell,GOOGL,-12,290.88
11/20/25,CanSlim,ALPHABET INC-CL A,Sell,GOOGL,-18,290.89
11/20/25,CanSlim,ALPHABET INC-CL A,Sell,GOOGL,-30,290.8815
11/20/25,CanSlim,NVIDIA CORP,Sell,NVDA,-50,181.78
11/19/25,CanSlim,NEBIUS GROUP NV,Buy,NBIS,95,95.995
11/19/25,CanSlim,NEBIUS GROUP NV,Sell,NBIS,-95,94.02
