Date,Signal,Type,Description,NASDAQ_Close,Daily_Change_%,Volume_vs_Prev,Above_21EMA,Above_50MA,Exposure_Change,Market_Exposure,Position_Allocation_%,Buy_Switch,Active_Dist_Days
2025-02-24,S10,SELL,Bad Break (-1.21%),19286.93,-1.21,0.88,False,False,-1,0,0,OFF,5
2025-02-24,S3,SELL,Full Distribution minus one (5 days),19286.93,-1.21,0.88,False,False,-1,0,0,OFF,5
2025-02-25,S4,SELL,Full Distribution (6 days),19026.39,-1.35,1.08,False,False,-1,0,0,OFF,6
2025-02-26,S4,SELL,Full Distribution (6 days),19075.26,0.26,0.88,False,False,-1,0,0,OFF,6
2025-02-27,S10,SELL,Bad Break (-2.78%),18544.42,-2.78,1.09,False,False,-1,0,0,OFF,7
2025-02-27,S12,SELL,Lower Low (13-week),18544.42,-2.78,1.09,False,False,-1,0,0,OFF,7
2025-02-27,S4,SELL,Full Distribution (7 days),18544.42,-2.78,1.09,False,False,-1,0,0,OFF,7
2025-02-28,S12,SELL,Lower Low (13-week),18847.28,1.63,1.07,False,False,-1,0,0,OFF,7
2025-02-28,S4,SELL,Full Distribution (7 days),18847.28,1.63,1.07,False,False,-1,0,0,OFF,7
2025-03-03,S10,SELL,Bad Break (-2.64%),18350.19,-2.64,0.99,False,False,-1,0,0,OFF,6
2025-03-03,S12,SELL,Lower Low (13-week),18350.19,-2.64,0.99,False,False,-1,0,0,OFF,6
2025-03-03,S4,SELL,Full Distribution (6 days),18350.19,-2.64,0.99,False,False,-1,0,0,OFF,6
2025-03-04,S12,SELL,Lower Low (13-week),18285.16,-0.35,1.04,False,False,-1,0,0,OFF,6
2025-03-04,S4,SELL,Full Distribution (6 days),18285.16,-0.35,1.04,False,False,-1,0,0,OFF,6
2025-03-05,S4,SELL,Full Distribution (6 days),18552.73,1.46,0.83,False,False,-1,0,0,OFF,6
2025-03-06,S10,SELL,Bad Break (-2.61%),18069.26,-2.61,1.09,False,False,-1,0,0,OFF,7
2025-03-06,S4,SELL,Full Distribution (7 days),18069.26,-2.61,1.09,False,False,-1,0,0,OFF,7
2025-03-06,S13,SELL,Distribution Cluster (4 in 8 days),18069.26,-2.61,1.09,False,False,-1,0,0,OFF,7
2025-03-07,S12,SELL,Lower Low (13-week),18196.22,0.7,1.06,False,False,-1,0,0,OFF,7
2025-03-07,S4,SELL,Full Distribution (7 days),18196.22,0.7,1.06,False,False,-1,0,0,OFF,7
2025-03-07,S13,SELL,Distribution Cluster (4 in 8 days),18196.22,0.7,1.06,False,False,-1,0,0,OFF,7
2025-03-10,S10,SELL,Bad Break (-4.00%),17468.32,-4.0,1.06,False,False,-1,0,0,OFF,7
2025-03-10,S12,SELL,Lower Low (13-week),17468.32,-4.0,1.06,False,False,-1,0,0,OFF,7
2025-03-10,S4,SELL,Full Distribution (7 days),17468.32,-4.0,1.06,False,False,-1,0,0,OFF,7
2025-03-10,S13,SELL,Distribution Cluster (4 in 8 days),17468.32,-4.0,1.06,False,False,-1,0,0,OFF,7
2025-03-11,S12,SELL,Lower Low (13-week),17436.1,-0.18,1.06,False,False,-1,0,0,OFF,8
2025-03-11,S4,SELL,Full Distribution (8 days),17436.1,-0.18,1.06,False,False,-1,0,0,OFF,8
2025-03-11,S13,SELL,Distribution Cluster (4 in 8 days),17436.1,-0.18,1.06,False,False,-1,0,0,OFF,8
2025-03-12,S4,SELL,Full Distribution (8 days),17648.45,1.22,0.84,False,False,-1,0,0,OFF,8
2025-03-12,S13,SELL,Distribution Cluster (4 in 8 days),17648.45,1.22,0.84,False,False,-1,0,0,OFF,8
