Date,Signal,Type,Description,Price,Exposure_Change,Market_Exposure,Allocation
2025-02-24 00:00:00-05:00,S10,SELL,Bad Break (-1.21%),19286.93,-1,0,0%
2025-02-24 00:00:00-05:00,S3,SELL,Full Distribution minus one (5 days),19286.93,-1,0,0%
2025-02-25 00:00:00-05:00,S4,SELL,Full Distribution (6 days),19026.39,-1,0,0%
2025-02-26 00:00:00-05:00,S4,SELL,Full Distribution (6 days),19075.26,-1,0,0%
2025-02-27 00:00:00-05:00,S10,SELL,Bad Break (-2.78%),18544.42,-1,0,0%
2025-02-27 00:00:00-05:00,S12,SELL,Lower Low (13-week),18544.42,-1,0,0%
2025-02-27 00:00:00-05:00,S4,SELL,Full Distribution (7 days),18544.42,-1,0,0%
2025-02-28 00:00:00-05:00,S12,SELL,Lower Low (13-week),18847.28,-1,0,0%
2025-02-28 00:00:00-05:00,S4,SELL,Full Distribution (7 days),18847.28,-1,0,0%
2025-03-03 00:00:00-05:00,S10,SELL,Bad Break (-2.64%),18350.19,-1,0,0%
2025-03-03 00:00:00-05:00,S12,SELL,Lower Low (13-week),18350.19,-1,0,0%
2025-03-03 00:00:00-05:00,S4,SELL,Full Distribution (6 days),18350.19,-1,0,0%
2025-03-04 00:00:00-05:00,S12,SELL,Lower Low (13-week),18285.16,-1,0,0%
2025-03-04 00:00:00-05:00,S4,SELL,Full Distribution (6 days),18285.16,-1,0,0%
2025-03-05 00:00:00-05:00,S4,SELL,Full Distribution (6 days),18552.73,-1,0,0%
2025-03-06 00:00:00-05:00,S10,SELL,Bad Break (-2.61%),18069.26,-1,0,0%
2025-03-06 00:00:00-05:00,S4,SELL,Full Distribution (7 days),18069.26,-1,0,0%
2025-03-06 00:00:00-05:00,S13,SELL,Distribution Cluster (4 in 8 days),18069.26,-1,0,0%
2025-03-07 00:00:00-05:00,S12,SELL,Lower Low (13-week),18196.22,-1,0,0%
2025-03-07 00:00:00-05:00,S4,SELL,Full Distribution (7 days),18196.22,-1,0,0%
2025-03-07 00:00:00-05:00,S13,SELL,Distribution Cluster (4 in 8 days),18196.22,-1,0,0%
2025-03-10 00:00:00-04:00,S10,SELL,Bad Break (-4.00%),17468.32,-1,0,0%
2025-03-10 00:00:00-04:00,S12,SELL,Lower Low (13-week),17468.32,-1,0,0%
2025-03-10 00:00:00-04:00,S4,SELL,Full Distribution (7 days),17468.32,-1,0,0%
2025-03-10 00:00:00-04:00,S13,SELL,Distribution Cluster (4 in 8 days),17468.32,-1,0,0%
2025-03-11 00:00:00-04:00,S12,SELL,Lower Low (13-week),17436.1,-1,0,0%
2025-03-11 00:00:00-04:00,S4,SELL,Full Distribution (8 days),17436.1,-1,0,0%
2025-03-11 00:00:00-04:00,S13,SELL,Distribution Cluster (4 in 8 days),17436.1,-1,0,0%
2025-03-12 00:00:00-04:00,S4,SELL,Full Distribution (8 days),17648.45,-1,0,0%
2025-03-12 00:00:00-04:00,S13,SELL,Distribution Cluster (4 in 8 days),17648.45,-1,0,0%
2025-03-13 00:00:00-04:00,S10,SELL,Bad Break (-1.96%),17303.01,-1,0,0%
2025-03-13 00:00:00-04:00,S4,SELL,Full Distribution (8 days),17303.01,-1,0,0%
2025-03-13 00:00:00-04:00,S13,SELL,Distribution Cluster (4 in 8 days),17303.01,-1,0,0%
2025-03-14 00:00:00-04:00,S4,SELL,Full Distribution (8 days),17754.09,-1,0,0%
2025-03-14 00:00:00-04:00,S13,SELL,Distribution Cluster (4 in 8 days),17754.09,-1,0,0%
2025-03-17 00:00:00-04:00,S4,SELL,Full Distribution (7 days),17808.66,-1,0,0%
2025-03-18 00:00:00-04:00,S4,SELL,Full Distribution (8 days),17504.12,-1,0,0%
2025-03-19 00:00:00-04:00,S4,SELL,Full Distribution (8 days),17750.79,-1,0,0%
2025-03-20 00:00:00-04:00,S4,SELL,Full Distribution (8 days),17691.63,-1,0,0%
2025-03-21 00:00:00-04:00,S4,SELL,Full Distribution (8 days),17784.05,-1,0,0%
2025-03-24 00:00:00-04:00,S4,SELL,Full Distribution (6 days),18188.59,-1,0,0%
2025-03-25 00:00:00-04:00,S4,SELL,Full Distribution (6 days),18271.86,-1,0,0%
2025-03-26 00:00:00-04:00,S5,SELL,Break Below 21-day EMA,17899.02,-1,0,0%
2025-03-26 00:00:00-04:00,S10,SELL,Bad Break (-2.04%),17899.02,-1,0,0%
2025-03-26 00:00:00-04:00,S4,SELL,Full Distribution (7 days),17899.02,-1,0,0%
2025-03-27 00:00:00-04:00,S10,SELL,Bad Break (-0.53%),17804.03,-1,0,0%
2025-03-27 00:00:00-04:00,S4,SELL,Full Distribution (7 days),17804.03,-1,0,0%
2025-03-28 00:00:00-04:00,S10,SELL,Bad Break (-2.70%),17322.99,-1,0,0%
2025-03-28 00:00:00-04:00,S4,SELL,Full Distribution (7 days),17322.99,-1,0,0%
2025-03-31 00:00:00-04:00,S12,SELL,Lower Low (13-week),17299.29,-1,0,0%
2025-03-31 00:00:00-04:00,S4,SELL,Full Distribution (6 days),17299.29,-1,0,0%
2025-04-01 00:00:00-04:00,S4,SELL,Full Distribution (6 days),17449.89,-1,0,0%
2025-04-02 00:00:00-04:00,S4,SELL,Full Distribution (6 days),17601.05,-1,0,0%
2025-04-03 00:00:00-04:00,S10,SELL,Bad Break (-5.97%),16550.61,-1,0,0%
