Date,Open,High,Low,Close,Volume
,SNDK,SNDK,SNDK,SNDK,SNDK
2/13/25,35.06000137,44,34.99000168,36,369100
2/14/25,37,38.25,35.50500107,36.65000153,242700
2/18/25,40.52999878,47.15000153,39,47.15000153,444500
2/19/25,46.50999832,48.5,45.5,46,220700
2/20/25,48.97999954,49.49000168,46.70999908,48.25999832,446200
2/21/25,48.99000168,50.68999863,48,50.36999893,1252100
2/24/25,52,53,46.20999908,48.59999847,33848500
2/25/25,48.29999924,55.00999832,47.81000137,48.15999985,8198900
2/26/25,46.15000153,49.90999985,45.29999924,46.58000183,8389000
2/27/25,46.04000092,47.86999893,41.58000183,45.15999985,9676100
2/28/25,45.22999954,48.70000076,43.75,46.84999847,7713800
3/3/25,48.49000168,50.88000107,47.60499954,50.31000137,4813000
3/4/25,46.68999863,50.09999847,45.09700012,48.68999863,6074700
3/5/25,47.59999847,49.39799881,46.5,48.47000122,5071800
3/6/25,47.40999985,49.06000137,45.24000168,46.5,4157300
3/7/25,49.20000076,51.13000107,47.15999985,51,7825500
3/10/25,50.49000168,53.66999817,49.54999924,53,5223800
3/11/25,51.84000015,53.18999863,49.81999969,52.15999985,3153400
3/12/25,53,53.09999847,50.38000107,50.43999863,2177500
3/13/25,50,50.86999893,47.86000061,48.43999863,3547400
3/14/25,49.43000031,54.93999863,49.43000031,54.81999969,4847600
3/17/25,54.79999924,58.36000061,54.74499893,55.65000153,2930700
3/18/25,55.13999939,57.88999939,54.56999969,56.41999817,2587300
3/19/25,56.29999924,57.60499954,55.66999817,56.33000183,2520700
3/20/25,56.50999832,57.16999817,54.91999817,56.20999908,2701900
3/21/25,55.09999847,55.45000076,51.91500092,53.95999908,6372200
3/24/25,54.61000061,55.68500137,51.84000015,52.99000168,3562800
3/25/25,52.13000107,53.18000031,51.75999832,52.20000076,3079000
3/26/25,53.52999878,53.70000076,51.97999954,52.61999893,1242400
3/27/25,51.95000076,54.24000168,51.70999908,52.88000107,1618100
3/28/25,52.20999908,52.88999939,48.45500183,48.97000122,3987300
3/31/25,47.40999985,48.39500046,47.02000046,47.61000061,2113400
4/1/25,47.54999924,49.36000061,46.58000183,48.11000061,2115600
4/2/25,46.91999817,48.70999908,46.50999832,47.66999817,1725300
4/3/25,44.79999924,44.79999924,37.54999924,38.25999832,7372000
4/4/25,35.72000122,35.86999893,28.36000061,30.11000061,11428600
4/7/25,29.21999931,32.97999954,27.88500023,31.47999954,6238600
4/8/25,33,35.84000015,31.65500069,32.34999847,5979600
4/9/25,31.92000008,39.65000153,31.26000023,36.58000183,5601600
4/10/25,34.59999847,35.02999878,30.51000023,31.07500076,4153400
4/11/25,30.55999947,32.04999924,28.27000046,31.96999931,4856000
4/14/25,33.75,36.16999817,32.47999954,33.54999924,4102300
4/15/25,33.29999924,34.56000137,32.88999939,33.22999954,1936800
4/16/25,32.29999924,33.11999893,30.75,32.02999878,2321000
4/17/25,31.75,32.65999985,30.38999939,31.29000092,2057200
4/21/25,31.06999969,31.06999969,28.94000053,29.80999947,2579400
4/22/25,30.26000023,31.12000084,29.31500053,29.62000084,2883700
4/23/25,31.98500061,32.77799988,30.20000076,30.36000061,2750200
4/24/25,30.80999947,32.97999954,30.30999947,32.29000092,2590500
4/25/25,32.25999832,33.36999893,31.60000038,32.84999847,1322100
