Trade_ID,Ticker,Action,Date,Shares,Amount,Value,Rule,Notes,Realized_PL,Stop_Loss,Trx_ID,Total_Cost,Avg_Entry,Avg_Exit
2025-001,IVV,BUY,2024-01-05 08:30,53.0,470.8031,24952.5643,br1.1 Consolidation,Started with this trade,0.0,461.426,B1,0.0,0.0,0.0
2025-001,IVV,BUY,2024-08-20 12:34,4.0,561.33,2245.32,br10.8 Add: Generic Scale-In,,0.0,516.4236000000001,A1,0.0,0.0,0.0
2025-001,IVV,BUY,2025-04-07 12:34,5.0,507.47,2537.3500000000004,br10.8 Add: Generic Scale-In,,0.0,466.8724,A2,0.0,0.0,0.0
2025-001,IVV,BUY,2025-11-14 12:34,8.0,671.63,5373.04,br10.8 Add: Generic Scale-In,,0.0,617.8996000000001,A3,0.0,0.0,0.0
2025-002,SPXL,BUY,2025-11-14 12:34,125.0,207.79,25973.75,br1.1 Consolidation,,0.0,191.1668,B1,0.0,0.0,0.0
2025-003,TQQQ,BUY,2025-11-14 12:34,200.0,51.77,10354.0,br1.1 Consolidation,,0.0,47.628400000000006,B1,0.0,0.0,0.0
2025-004,XBI,BUY,2025-11-14 12:34,220.0,113.91,25060.2,br1.1 Consolidation,,0.0,104.7972,B1,0.0,0.0,0.0
2025-003,TQQQ,BUY,2025-12-02 12:30,683.0,54.53,37243.99,br10.8 Add: Generic Scale-In,,0.0,50.1676,A1,0.0,0.0,0.0
2025-003,TQQQ,BUY,2025-12-03 10:40,600.0,55.41,33246.0,br10.8 Add: Generic Scale-In,,0.0,50.9772,A2,0.0,0.0,0.0
2025-005,ETHA,BUY,2025-12-09 12:33,200.0,25.58,5116.0,br3.2 Reclaim 50s,,0.0,23.5336,B1,0.0,0.0,0.0
2025-004,XBI,SELL,2025-12-10 13:00,120.0,122.3708,14684.496,sr1 Capital Protection,,1015.2960000000008,0.0,SB1,0.0,0.0,0.0
2025-006,IWM,BUY,2025-12-10 12:45,60.0,256.045,15362.7,br1.2 Cup w Handle,,0.0,243.24275,B1,,,
