Day,Status,Market Window,> 21e,Cash -/+,Beg NLV,End NLV,Daily $ Change,Daily % Change,% Invested,SPY,Nasdaq,Market_Notes,Market_Action,Keywords,Score
2026-01-02,U,Open,0.0,89225.8,190026.62,188914.1,-90338.31999999999,-47.54%,0.0,683.1699829101562,23235.62890625,Market down. Select growth stocks on fire,ADD: IVV SELL: TQQQ-UPRO-XBI-IWM,,0.0
2025-12-31,U,Open,0.0,0.0,191316.71,190026.62,-1290.0899999999965,-0.67%,71.2744614412444,681.9199829101562,23241.990234375,Market tumbles into new year. Terrible close of the year,No Changes,,0.0
2025-12-30,U,Open,0.0,0.0,192035.46,191316.71,-718.75,-0.37%,71.47710725320334,687.010009765625,23419.080078125,Market flat again. Very low volume on shorten week,No Changes,,0.0
2025-12-29,U,Open,0.0,0.0,191311.81,192035.46,723.6499999999942,0.38%,71.58386268869302,687.8499755859375,23474.349609375,Nasdaq sells off from highs but closed well,No Changes,,0.0
2025-12-26,U,Open,0.0,0.0,191849.57,191311.81,-537.7600000000093,-0.28%,72.35844457276318,690.3099975585938,23593.095703125,Day after Xmas blues. Indices are flat. High Beta stocks sell off ,SELL: ITA ADD: TQQQ,,0.0
2025-12-24,U,Open,0.0,0.0,191126.42,191849.57,723.1499999999942,0.38%,72.90089313205131,690.3800048828125,23613.306640625,Shorten Holiday Trading Day. SPX makes ATH. Mixed actions on growth stocks,No changes,,0.0
2025-12-23,U,Open,0.0,0.0,190876.02,191126.42,250.40000000002328,0.13%,72.83558704233563,687.9600219726562,23561.84375,SPX all time high on NVDA move. Choppy action still ,No Changes,,0.0
2025-12-22,U,Open,0.0,0.0,189218.82,190876.02,1657.1999999999823,0.88%,72.79995150779024,684.719970703125,23428.830078125,Market gaps up above 21e. Mixed actions around ,No Change,,0.0
2025-12-19,U,Open,0.0,0.0,188121.74,189218.82,1097.0800000000163,0.58%,72.5617303817876,680.5900268554688,23307.619140625,Market follows through on Quad Witching Day ,BUY: TQQQ-ITA ADD: IVV-XBI,,0.0
2025-12-18,U,Open,0.0,0.0,187770.24,188121.74,351.5,0.19%,39.52153536321747,676.469970703125,23006.361328125,Market rebounds on great CPI Data. Still choppy,,,0.0
2025-12-17,U,Open,0.0,0.0,189076.0,187770.24,-1305.7600000000093,-0.69%,39.40832157428142,671.4000244140625,22693.3203125,,SELL: SPXL,,0.0
2025-12-16,U,Open,0.0,0.0,189984.0,189076.0,-908.0,-0.48%,53.869872432249466,674.6649780273438,22852.455078125,,,,0.0
2025-12-15,U,Open,0.0,0.0,190795.84,189984.0,-811.8399999999965,-0.43%,53.68873168266801,676.2999877929688,22939.49609375,,,,0.0
2025-12-12,U,Open,0.0,0.0,197578.51,190795.84,-6782.67,-3.43%,97.49,681.7600098,23195.16992,,,,3.0
2025-12-11,U,Open,0.0,0.0,197985.08,197578.51,-406.57,-0.21%,97.58,689.1699829,23593.85938,,,,3.0
2025-12-10,U,Open,0.0,0.0,195224.93,197985.08,2760.15,1.41%,97.58,687.5700073,23654.15625,,TRIM: XBI ADD: IWM,,4.0
2025-12-09,U,Open,0.0,0.0,195597.1,195224.93,-372.17,-0.19%,97.6,683.039978,23576.48633,,,,5.0
2025-12-08,U,Open,0.0,0.0,196677.48,195597.1,-1080.38,-0.55%,94.99,683.6300049,23545.90039,,,,5.0
2025-12-05,U,Open,0.0,0.0,195289.89,196677.48,1387.59,0.71%,95.02,685.6900024,23578.13086,,,,5.0
2025-12-04,U,Open,0.0,0.0,195100.19,195289.89,189.7,0.10%,94.99,684.3900146,23505.13672,,Volatile nasdaq closed higher with mixed performance in growth stocks ,,5.0
2025-12-03,U,Open,0.0,0.0,192942.0,195100.19,2158.19,1.12%,94.97,683.8900146,23454.0918,,,,5.0
2025-12-02,,,,0.0,192751.0,192942.0,191.0,0.10%,0.0,681.5300293,23413.66992,,,,
2025-12-01,,,,0.0,193192.0,192751.0,-441.0,-0.23%,0.0,680.2700195,23275.91992,,,,
2025-11-28,,,,0.0,192163.0,193192.0,1029.0,0.54%,0.0,683.3900146,23365.68945,,,,
2025-11-26,,,,0.0,190693.0,192163.0,1470.0,0.77%,0.0,679.6799927,23214.68945,,,,
2025-11-25,,,,0.0,189369.0,190693.0,1324.0,0.70%,0.0,675.0200195,23025.58984,,,,
2025-11-24,,,,0.0,187164.0,189369.0,2205.0,1.18%,0.0,668.7299805,22872.00977,,,,
2025-11-21,,,,0.0,186558.0,187164.0,606.0,0.32%,0.0,659.0300293,22273.08008,,,,
2025-11-20,,,,0.0,187653.0,186558.0,-1095.0,-0.58%,0.0,652.5300293,22078.05078,,,,
2025-11-19,,,,0.0,187621.0,187653.0,32.0,0.02%,0.0,662.6300049,22564.23047,,,,
2025-11-18,,,,0.0,187932.0,187621.0,-311.0,-0.17%,0.0,660.0800171,22432.84961,,,,
