Trade_ID,Ticker,Status,Open_Date,Closed_Date,Shares,Avg_Entry,Avg_Exit,Total_Cost,Realized_PL,Unrealized_PL,Return_Pct,Buy_Rule,Sell_Rule,Notes,Amount,Value,Stop_Loss
202311-001,NVDA,CLOSED,2023-11-16 09:30,2025-01-29 16:00,652.0,110.44,125.34000000000002,72006.88,9714.800000000005,0.0,13.491488591090189,History,History,Imported,0.0,0.0,0.0
202408-001,PLTR,CLOSED,2024-08-08 09:30,2025-02-27 16:00,2282.0,65.16,74.58,148695.12,21496.44,0.0,14.456721915285453,History,History,Imported,0.0,0.0,0.0
202410-001,RDDT,CLOSED,2024-10-02 09:30,2025-02-20 16:00,886.0,133.5,152.62,118281.0,16940.320000000003,0.0,14.322097378277157,History,History,Imported,0.0,0.0,0.0
202411-001,DECK,CLOSED,2024-11-08 09:30,2025-01-31 16:00,150.0,180.85,182.84,27127.5,298.50000000000136,0.0,1.10035941387891,History,History,Imported,0.0,0.0,0.0
202411-002,ALAB,CLOSED,2024-11-13 09:30,2025-01-27 16:00,467.0,108.59,97.85,50711.53,-5015.5800000000045,0.0,-9.89041348190442,History,History,Imported,0.0,0.0,0.0
202501-001,SPOT,CLOSED,2025-01-02 09:30,2025-02-03 16:00,67.0,469.52,531.57,31457.84,4157.350000000005,0.0,13.215624467541334,History,History,Imported,0.0,0.0,0.0
202501-002,IBKR,CLOSED,2025-01-02 09:30,2025-01-27 16:00,120.0,182.45,201.98,21894.0,2343.6000000000004,0.0,10.704302548643463,History,History,Imported,0.0,0.0,0.0
202501-003,NET,CLOSED,2025-01-02 09:30,2025-01-10 16:00,198.0,114.46,109.81999999999998,22663.08,-918.72,0.0,-4.053817927660319,History,History,Imported,0.0,0.0,0.0
202501-004,APP,CLOSED,2025-01-02 09:30,2025-01-07 16:00,66.0,339.75,327.52,22423.5,-807.1800000000012,0.0,-3.5997056659308373,History,History,Imported,0.0,0.0,0.0
202501-005,GEV,CLOSED,2025-01-03 09:30,2025-01-27 16:00,75.0,351.4,356.86,26355.0,409.50000000000273,0.0,1.553784860557779,History,History,Imported,0.0,0.0,0.0
202501-006,MSTR,CLOSED,2025-01-03 09:30,2025-01-07 16:00,20.0,358.68,357.48,7173.6,-23.999999999999773,0.0,-0.3345600535296054,History,History,Imported,0.0,0.0,0.0
202501-007,ASAN,CLOSED,2025-01-08 09:30,2025-01-27 16:00,1098.0,19.49,20.05,21400.019999999997,614.8800000000025,0.0,2.873268342739878,History,History,Imported,0.0,0.0,0.0
202501-008,APP,CLOSED,2025-01-13 09:30,2025-01-27 16:00,66.0,315.14000000000004,337.03,20799.24,1444.739999999999,0.0,6.946119185124067,History,History,Imported,0.0,0.0,0.0
202501-009,CAVA,CLOSED,2025-01-14 09:30,2025-02-19 16:00,337.0,122.35,123.49,41231.95,384.1800000000002,0.0,0.9317531671434414,History,History,Imported,0.0,0.0,0.0
202501-010,KVYO,CLOSED,2025-01-14 09:30,2025-01-22 16:00,130.0,39.45,42.13,5128.5,348.4,0.0,6.793409378960709,History,History,Imported,0.0,0.0,0.0
202501-011,SE,CLOSED,2025-01-28 09:30,2025-02-20 16:00,175.0,121.19,131.74,21208.25,1846.250000000002,0.0,8.705338724317198,History,History,Imported,0.0,0.0,0.0
202501-012,DOCS,CLOSED,2025-01-28 09:30,2025-02-27 16:00,793.0,65.24,72.31,51735.31999999999,5606.510000000006,0.0,10.836909871244648,History,History,Imported,0.0,0.0,0.0
202501-013,LULU,CLOSED,2025-01-28 09:30,2025-02-03 16:00,52.0,412.67,403.41,21458.84,-481.5199999999995,0.0,-2.243923716286619,History,History,Imported,0.0,0.0,0.0
