Trade_ID,Ticker,Status,Open_Date,Closed_Date,Shares,Avg_Entry,Avg_Exit,Total_Cost,Realized_PL,Unrealized_PL,Return_Pct,Sell_Rule,Notes,Amount,Value,Stop_Loss,Rule,Buy_Notes,Sell_Notes
202311-001,NVDA,CLOSED,11/16/23 09:30,1/29/25 16:00,652,110.44,125.34,72006.88,9714.8,0,13.49148859,History,Imported,0,0,0,History,,
202408-001,PLTR,CLOSED,8/8/24 09:30,2/27/25 16:00,2282,65.16,74.58,148695.12,21496.44,0,14.45672192,History,Imported,0,0,0,History,,
202410-001,RDDT,CLOSED,10/2/24 09:30,2/20/25 16:00,886,133.5,152.62,118281,16940.32,0,14.32209738,History,Imported,0,0,0,History,,
202411-001,DECK,CLOSED,11/8/24 09:30,1/31/25 16:00,150,180.85,182.84,27127.5,298.5,0,1.100359414,History,Imported,0,0,0,History,,
202411-002,ALAB,CLOSED,11/13/24 09:30,1/27/25 16:00,467,108.59,97.85,50711.53,-5015.58,0,-9.890413482,History,Imported,0,0,0,History,,
202501-001,SPOT,CLOSED,1/2/25 09:30,2/3/25 16:00,67,469.52,531.57,31457.84,4157.35,0,13.21562447,History,Imported,0,0,0,History,,
202501-002,IBKR,CLOSED,1/2/25 09:30,1/27/25 16:00,120,182.45,201.98,21894,2343.6,0,10.70430255,History,Imported,0,0,0,History,,
202501-003,NET,CLOSED,1/2/25 09:30,1/10/25 16:00,198,114.46,109.82,22663.08,-918.72,0,-4.053817928,History,Imported,0,0,0,History,,
202501-004,APP,CLOSED,1/2/25 09:30,1/7/25 16:00,66,339.75,327.52,22423.5,-807.18,0,-3.599705666,History,Imported,0,0,0,History,,
202501-005,GEV,CLOSED,1/3/25 09:30,1/27/25 16:00,75,351.4,356.86,26355,409.5,0,1.553784861,History,Imported,0,0,0,History,,
202501-006,MSTR,CLOSED,1/3/25 09:30,1/7/25 16:00,20,358.68,357.48,7173.6,-24,0,-0.334560054,History,Imported,0,0,0,History,,
202501-007,ASAN,CLOSED,1/8/25 09:30,1/27/25 16:00,1098,19.49,20.05,21400.02,614.88,0,2.873268343,History,Imported,0,0,0,History,,
202501-008,APP,CLOSED,1/13/25 09:30,1/27/25 16:00,66,315.14,337.03,20799.24,1444.74,0,6.946119185,History,Imported,0,0,0,History,,
202501-009,CAVA,CLOSED,1/14/25 09:30,2/19/25 16:00,337,122.35,123.49,41231.95,384.18,0,0.931753167,History,Imported,0,0,0,History,,
202501-010,KVYO,CLOSED,1/14/25 09:30,1/22/25 16:00,130,39.45,42.13,5128.5,348.4,0,6.793409379,History,Imported,0,0,0,History,,
202501-011,SE,CLOSED,1/28/25 09:30,2/20/25 16:00,175,121.19,131.74,21208.25,1846.25,0,8.705338724,History,Imported,0,0,0,History,,
202501-012,DOCS,CLOSED,1/28/25 09:30,2/27/25 16:00,793,65.24,72.31,51735.32,5606.51,0,10.83690987,History,Imported,0,0,0,History,,
202501-013,LULU,CLOSED,1/28/25 09:30,2/3/25 16:00,52,412.67,403.41,21458.84,-481.52,0,-2.243923716,History,Imported,0,0,0,History,,
202501-014,GRMN,CLOSED,1/28/25 09:30,1/29/25 16:00,100,220.15,215.9,22015,-425,0,-1.930501931,History,Imported,0,0,0,History,,
202501-015,ISRG,CLOSED,1/28/25 09:30,1/31/25 16:00,26,572.67,573.26,14889.42,15.34,0,0.103026176,History,Imported,0,0,0,History,,
202501-016,APP,CLOSED,1/29/25 09:30,2/20/25 16:00,88,390.2,427.96,34337.6,3322.88,0,9.677088672,History,Imported,0,0,0,History,,
202501-017,XYZ,CLOSED,1/29/25 09:30,2/4/25 16:00,225,89.73,85.7,20189.25,-906.75,0,-4.491251532,History,Imported,0,0,0,History,,
202501-018,UAL,CLOSED,1/29/25 09:30,1/31/25 16:00,210,108.48,106.47,22780.8,-422.1,0,-1.852876106,History,Imported,0,0,0,History,,
202501-019,SHOP,CLOSED,1/30/25 09:30,1/31/25 16:00,200,119.49,116.47,23898,-604,0,-2.527408151,History,Imported,0,0,0,History,,
202501-020,SNOW,CLOSED,1/31/25 09:30,2/5/25 16:00,120,185.51,183.73,22261.2,-213.6,0,-0.959517007,History,Imported,0,0,0,History,,
202502-001,IBKR,CLOSED,2/3/25 09:30,2/5/25 16:00,90,223.73,224.07,20135.7,30.6,0,0.151968891,History,Imported,0,0,0,History,,
202502-002,COST,CLOSED,2/3/25 09:30,2/10/25 16:00,12,994.27,1049.91,11931.24,667.68,0,5.596065455,History,Imported,0,0,0,History,,
202502-003,NFLX,CLOSED,2/3/25 09:30,2/18/25 16:00,23,983.61,1035.18,22623.03,1186.11,0,5.24293165,History,Imported,0,0,0,History,,
202502-004,ISRG,CLOSED,2/4/25 09:30,2/5/25 16:00,36,591.35,588.21,21288.6,-113.04,0,-0.530988416,History,Imported,0,0,0,History,,
202502-005,IOT,CLOSED,2/5/25 09:30,2/19/25 16:00,623,55.3,58.58,34451.9,2043.44,0,5.931283906,History,Imported,0,0,0,History,,
202502-006,AXON,CLOSED,2/5/25 09:30,2/10/25 16:00,33,678.93,675,22404.69,-129.69,0,-0.578852017,History,Imported,0,0,0,History,,
202502-007,DUOL,CLOSED,2/12/25 09:30,2/18/25 16:00,45,386,428.82,17370,1926.9,0,11.09326425,History,Imported,0,0,0,History,,
202502-008,ARKK,CLOSED,2/12/25 09:30,2/19/25 16:00,540,62.56,67.13,33782.4,2467.8,0,7.304987212,History,Imported,0,0,0,History,,
202502-009,SHOP,CLOSED,2/12/25 09:30,2/18/25 16:00,144,122,126.92,17568,708.48,0,4.032786885,History,Imported,0,0,0,History,,
202502-010,SNOW,CLOSED,2/12/25 09:30,2/13/25 16:00,93,187.92,192.21,17476.56,398.97,0,2.282886335,History,Imported,0,0,0,History,,
202502-011,GTLB,CLOSED,2/12/25 09:30,2/13/25 16:00,246,70.32,70.52,17298.72,49.2,0,0.284414107,History,Imported,0,0,0,History,,
202502-012,AXON,CLOSED,2/14/25 09:30,2/19/25 16:00,54,675.09,669.96,36454.86,-277.02,0,-0.75989868,History,Imported,0,0,0,History,,
202502-013,TWLO,CLOSED,2/18/25 09:30,2/19/25 16:00,154,125.43,120.4,19316.22,-774.62,0,-4.010204895,History,Imported,0,0,0,History,,
202502-014,META,CLOSED,2/19/25 09:30,2/20/25 16:00,51,699.14,696.95,35656.14,-111.69,0,-0.313241983,History,Imported,0,0,0,History,,
202502-015,ARKK,CLOSED,2/19/25 09:30,2/19/25 16:00,540,66.66,65.51,35996.4,-621,0,-1.725172517,History,Imported,0,0,0,History,,
202502-016,PLTR,CLOSED,2/20/25 09:30,2/21/25 16:00,155,105.09,101.75,16288.95,-517.7,0,-3.178228185,History,Imported,0,0,0,History,,
202502-017,META,CLOSED,2/25/25 09:30,2/27/25 16:00,48,658.93,658.7,31628.64,-11.04,0,-0.034905073,History,Imported,0,0,0,History,,
202502-018,NFLX,CLOSED,2/25/25 09:30,2/27/25 16:00,32,977.13,964,31268.16,-420.16,0,-1.343731131,History,Imported,0,0,0,History,,
202502-019,SPOT,CLOSED,2/26/25 09:30,2/27/25 16:00,52,605.43,592.25,31482.36,-685.36,0,-2.176965132,History,Imported,0,0,0,History,,
202502-020,NET,CLOSED,2/28/25 09:30,3/3/25 16:00,105,143.32,142.79,15048.6,-55.65,0,-0.369801842,History,Imported,0,0,0,History,,
202502-021,NFLX,CLOSED,2/28/25 09:30,3/3/25 16:00,30,975.79,968.76,29273.7,-210.9,0,-0.720441898,History,Imported,0,0,0,History,,
202502-022,TSLA,CLOSED,2/28/25 09:30,3/3/25 16:00,93,291.21,281.33,27082.53,-918.84,0,-3.392740634,History,Imported,0,0,0,History,,
202502-023,TQQQ,CLOSED,2/28/25 09:30,3/3/25 16:00,684,71.56,70,48947.04,-1067.04,0,-2.179988821,History,Imported,0,0,0,History,,
202503-001,PLTR,CLOSED,3/3/25 09:30,3/3/25 16:00,340,88.96,83.16,30246.4,-1972,0,-6.519784173,History,Imported,0,0,0,History,,
202503-002,TQQQ,CLOSED,3/19/25 09:30,3/20/25 16:00,243,61.91,61.06,15044.13,-206.55,0,-1.372960749,History,Imported,0,0,0,History,,
202503-003,DASH,CLOSED,3/19/25 09:30,3/20/25 16:00,80,190.52,191.2,15241.6,54.4,0,0.356917909,History,Imported,0,0,0,History,,
202503-004,TQQQ,CLOSED,3/24/25 09:30,3/26/25 16:00,240,65.21,64.44,15650.4,-184.8,0,-1.180800491,History,Imported,0,0,0,History,,
202503-005,PLTR,CLOSED,3/24/25 09:30,3/28/25 16:00,377,94.41,90.54,35592.57,-1458.99,0,-4.09914204,History,Imported,0,0,0,History,,
202503-006,UPRO,CLOSED,3/24/25 09:30,3/28/25 16:00,239,79.87,80.31,19088.93,105.16,0,0.550895205,History,Imported,0,0,0,History,,
202503-007,DOCS,CLOSED,3/25/25 09:30,3/26/25 16:00,225,67.19,64.21,15117.75,-670.5,0,-4.435183807,History,Imported,0,0,0,History,,
202503-008,SPOT,CLOSED,3/27/25 09:30,3/28/25 16:00,27,582.33,584.79,15722.91,66.42,0,0.422440884,History,Imported,0,0,0,History,,
202504-001,TQQQ,CLOSED,4/11/25 09:30,4/16/25 16:00,78,48.51,47.06,3783.78,-113.1,0,-2.989074418,History,Imported,0,0,0,History,,
