Day,Status,Market Window,> 21e,Cash -/+,Beg NLV,End NLV,Daily $ Change,Daily % Change,% Invested,SPY,Nasdaq,Market_Action,Keywords,Score
2025-12-15,U,Open,0.0,0.0,190795.84,189844.24,-951.6000000000058,-0.50%,45.92,680.72998046875,23057.412109375,,,3.0
2025-12-12,U,Open,0.0,0.0,197578.51,190795.84,-6782.670000000013,-3.43%,97.49,681.760009765625,23195.169921875,,,3.0
2025-12-11,U,Open,0.0,0.0,197985.08,197578.51,-406.5699999999779,-0.21%,97.58,689.1699829101562,23593.859375,,,3.0
2025-12-10,U,Open,0.0,0.0,195224.93,197985.08,2760.149999999994,1.41%,97.58,687.5700073242188,23654.15625,TRIM: XBI ADD: IWM,,4.0
2025-12-09,U,Open,0.0,0.0,195597.1,195224.93,-372.1700000000128,-0.19%,97.6,683.0399780273438,23576.486328125,,,5.0
2025-12-08,U,Open,0.0,0.0,196677.48,195597.1,-1080.3800000000049,-0.55%,94.99,683.6300048828125,23545.900390625,,,5.0
2025-12-05,U,Open,0.0,0.0,195289.89,196677.48,1387.5899999999965,0.71%,95.02,685.6900024414062,23578.130859375,,,5.0
2025-12-04,U,Open,0.0,0.0,195100.19,195289.89,189.70000000001164,0.10%,94.99,684.3900146484375,23505.13671875,Volatile nasdaq closed higher with mixed performance in growth stocks ,,5.0
2025-12-03,U,Open,0.0,0.0,192942.0,195100.19,2158.1900000000023,1.12%,94.97,683.8900146484375,23454.091796875,,,5.0
2025-12-02,,,,0.0,192751.0,192942.0,191.0,0.10%,0.0,681.530029296875,23413.669921875,,,
2025-12-01,,,,0.0,193192.0,192751.0,-441.0,-0.23%,0.0,680.27001953125,23275.919921875,,,
2025-11-28,,,,0.0,192163.0,193192.0,1029.0,0.54%,0.0,683.3900146484375,23365.689453125,,,
2025-11-26,,,,0.0,190693.0,192163.0,1470.0,0.77%,0.0,679.6799926757812,23214.689453125,,,
2025-11-25,,,,0.0,189369.0,190693.0,1324.0,0.70%,0.0,675.02001953125,23025.58984375,,,
2025-11-24,,,,0.0,187164.0,189369.0,2205.0,1.18%,0.0,668.72998046875,22872.009765625,,,
2025-11-21,,,,0.0,186558.0,187164.0,606.0,0.32%,0.0,659.030029296875,22273.080078125,,,
2025-11-20,,,,0.0,187653.0,186558.0,-1095.0,-0.58%,0.0,652.530029296875,22078.05078125,,,
2025-11-19,,,,0.0,187621.0,187653.0,32.0,0.02%,0.0,662.6300048828125,22564.23046875,,,
2025-11-18,,,,0.0,187932.0,187621.0,-311.0,-0.17%,0.0,660.0800170898438,22432.849609375,,,
2025-11-17,,,,0.0,188192.0,187932.0,-260.0,-0.14%,0.0,665.6699829101562,22708.0703125,,,
2025-11-14,,,,0.0,188398.58,188192.0,-206.58,-0.11%,0.0,671.9299926757812,22900.58984375,,,
2025-11-13,,,,0.0,190615.52,188398.58,-2216.94,-1.16%,0.0,672.0399780273438,22870.359375,,,
2025-11-12,,,,0.0,194615.79,190615.52,-4000.27,-2.06%,0.0,683.3800048828125,23406.4609375,,,
2025-11-11,,,,0.0,195397.16,194615.79,-781.37,-0.40%,0.0,683.0,23468.30078125,,,
2025-11-10,,,,0.0,194765.0,195397.16,632.16,0.32%,0.0,681.4400024414062,23527.169921875,,,
2025-11-07,,,,0.0,196741.81,194765.0,-1976.81,-1.00%,0.0,670.969970703125,23004.5390625,,,
2025-11-06,,,,0.0,202686.11,196741.81,-5944.3,-2.93%,0.0,670.3099975585938,23053.990234375,,,
2025-11-05,,,,0.0,200225.38,202686.11,2460.73,1.23%,0.0,677.5800170898438,23499.80078125,,,
2025-11-04,,,,0.0,208249.22,200225.38,-8023.84,-3.85%,0.0,675.239990234375,23348.640625,,,
2025-11-03,,,,0.0,207463.56,208249.22,785.66,0.38%,0.0,683.3400268554688,23834.720703125,,,
2025-10-31,,,,0.0,208655.23,207463.56,-1191.67,-0.57%,0.0,682.0599975585938,23724.9609375,,,
2025-10-30,,,,0.0,210458.78,208655.23,-1803.55,-0.86%,0.0,679.8300170898438,23581.140625,,,
2025-10-29,,,,0.0,210239.07,210458.78,219.71,0.10%,0.0,687.3900146484375,23958.470703125,,,
2025-10-28,,,,0.0,208442.37,210239.07,1796.7,0.86%,0.0,687.0599975585938,23827.490234375,,,
2025-10-27,,,,0.0,203129.7,208442.37,5312.67,2.62%,0.0,685.239990234375,23637.4609375,,,
2025-10-24,,,,0.0,199681.8,203129.7,3447.9,1.73%,0.0,677.25,23204.869140625,,,
2025-10-23,,,,0.0,196397.68,199681.8,3284.12,1.67%,0.0,671.760009765625,22941.80078125,,,
2025-10-22,,,,0.0,200348.92,196397.68,-3951.24,-1.97%,0.0,667.7999877929688,22740.400390625,,,
2025-10-21,,,,0.0,201046.44,200348.92,-697.52,-0.35%,0.0,671.2899780273438,22953.669921875,,,
2025-10-20,,,,0.0,195779.99,201046.44,5266.45,2.69%,0.0,671.2999877929688,22990.5390625,,,
2025-10-17,,,,0.0,193291.47,195779.99,2488.52,1.29%,0.0,664.3900146484375,22679.970703125,,,
2025-10-16,,,,0.0,196693.22,193291.47,-3401.75,-1.73%,0.0,660.6400146484375,22562.5390625,,,
2025-10-15,,,,0.0,193768.73,196693.22,2924.49,1.51%,0.0,665.1699829101562,22670.080078125,,,
2025-10-14,,,,0.0,196501.0,193768.73,-2732.27,-1.39%,0.0,662.22998046875,22521.69921875,,,
2025-10-13,,,,0.0,189692.0,196501.0,6809.0,3.59%,0.0,663.0399780273438,22694.609375,,,
2025-10-10,,,,0.0,202661.0,189692.0,-12969.0,-6.40%,0.0,653.02001953125,22204.4296875,,,
2025-10-09,,,,0.0,204857.49,202661.0,-2196.49,-1.07%,0.0,671.1599731445312,23024.630859375,,,
2025-10-08,,,,0.0,199792.42,204857.49,5065.07,2.54%,0.0,673.1099853515625,23043.380859375,,,
2025-10-07,,,,0.0,203325.96,199792.42,-3533.54,-1.74%,0.0,669.1199951171875,22788.359375,,,
2025-10-06,,,,0.0,199116.84,203325.96,4209.12,2.11%,0.0,671.6099853515625,22941.669921875,,,
2025-10-03,,,,0.0,200500.9,199116.84,-1384.06,-0.69%,0.0,669.2100219726562,22780.509765625,,,
2025-10-02,,,,0.0,198590.08,200500.9,1910.82,0.96%,0.0,669.219970703125,22844.05078125,,,
2025-10-01,,,,0.0,196173.46,198590.08,2416.62,1.23%,0.0,668.4500122070312,22755.16015625,,,
2025-09-30,,,,0.0,195754.78,196173.46,418.68,0.21%,0.0,666.1799926757812,22660.009765625,,,
2025-09-29,,,,0.0,193580.41,195754.78,2174.37,1.12%,0.0,663.6799926757812,22591.150390625,,,
2025-09-26,,,,0.0,191693.6,193580.41,1886.81,0.98%,0.0,661.8200073242188,22484.0703125,,,
2025-09-25,,,,0.0,194649.06,191693.6,-2955.46,-1.52%,0.0,658.0499877929688,22384.69921875,,,
2025-09-24,,,,0.0,196006.75,194649.06,-1357.69,-0.69%,0.0,661.0999755859375,22497.859375,,,
2025-09-23,,,,0.0,198394.45,196006.75,-2387.7,-1.20%,0.0,663.2100219726562,22573.470703125,,,
2025-09-22,,,,0.0,197011.31,198394.45,1383.14,0.70%,0.0,666.8400268554688,22788.98046875,,,
2025-09-19,,,,0.0,195300.44,197011.31,1710.87,0.88%,0.0,663.7000122070312,22631.48046875,,,
2025-09-18,,,,0.0,191734.29,195300.44,3566.15,1.86%,0.0,660.4290161132812,22470.720703125,,,
2025-09-17,,,,0.0,192167.61,191734.29,-433.32,-0.23%,0.0,657.3575439453125,22261.330078125,,,
2025-09-16,,,,0.0,192409.45,192167.61,-241.84,-0.13%,0.0,658.1752319335938,22333.9609375,,,
2025-09-15,,,,0.0,190697.6,192409.45,1711.85,0.90%,0.0,659.0827026367188,22348.75,,,
2025-09-12,,,,0.0,189300.65,190697.6,1396.95,0.74%,0.0,655.5924072265625,22141.099609375,,,
2025-09-11,,,,0.0,187036.36,189300.65,2264.29,1.21%,0.0,655.8118286132812,22043.0703125,,,
2025-09-10,,,,0.0,186444.85,187036.36,591.51,0.32%,0.0,650.4067993164062,21886.060546875,,,
2025-09-09,,,,0.0,185829.5,186444.85,615.35,0.33%,0.0,648.531982421875,21879.490234375,,,
2025-09-08,,,,0.0,183908.43,185829.5,1921.07,1.04%,0.0,647.0361328125,21798.69921875,,,
2025-09-05,,,,0.0,183513.1,183908.43,395.33,0.22%,0.0,645.4505004882812,21700.390625,,,
2025-09-04,,,,0.0,182070.87,183513.1,1442.23,0.79%,0.0,647.3253173828125,21707.689453125,,,
2025-09-03,,,,0.0,179532.54,182070.87,2538.33,1.41%,0.0,641.960205078125,21497.73046875,,,
2025-09-02,,,,0.0,181882.1,179532.54,-2349.56,-1.29%,0.0,638.4998168945312,21279.630859375,,,
2025-08-29,,,,0.0,185699.04,181882.1,-3816.94,-2.06%,0.0,643.2666015625,21455.55078125,,,
2025-08-28,,,,0.0,184479.03,185699.04,1220.01,0.66%,0.0,647.1258544921875,21705.16015625,,,
2025-08-27,,,,0.0,184392.49,184479.03,86.54,0.05%,0.0,644.8422241210938,21590.140625,,,
2025-08-26,,,,0.0,181925.02,184392.49,2467.47,1.36%,0.0,643.3762817382812,21544.26953125,,,
2025-08-25,,,,0.0,184667.35,181925.02,-2742.33,-1.49%,0.0,640.6936645507812,21449.2890625,,,
2025-08-22,,,,0.0,179573.0,184667.35,5094.35,2.84%,0.0,643.52587890625,21496.5390625,,,
2025-08-21,,,,0.0,181998.09,179573.0,-2425.09,-1.33%,0.0,633.7928466796875,21100.310546875,,,
2025-08-20,,,,0.0,182829.26,181998.09,-831.17,-0.45%,0.0,636.3457641601562,21172.859375,,,
