Trade_ID,Ticker,Action,Date,Shares,Amount,Value,Rule,Notes,Realized_PL,Stop_Loss,Trx_ID,Total_Cost,Avg_Entry,Avg_Exit
202512-001,TQQQ,BUY,2025-12-15 14:01,2412.0,52.82,127401.84,br7.1 TQQQ Strategy,TQQQ shares transferred from canslim account,0.0,48.5944,B1,0.0,0.0,0.0
202512-001,TQQQ,SELL,2025-12-15 14:20,2412.0,51.871,125112.852,sr8 TQQQ Strategy Exit,Sell signal triggered on TQQQ Strategy,-2288.9879999999953,0.0,SB1,0.0,0.0,0.0
202512-045,TQQQ,BUY,2025-12-24 09:13,500.0,54.936,27468.0,br7.1 TQQQ Strategy,Anticipating buy signal,0.0,52.1892,B1,0.0,0.0,0.0
202512-046,UPRO,BUY,2025-12-24 09:13,100.0,119.255,11925.5,br9.1 21e Strategy,Buy Signal Triggered. ,0.0,113.29225,B1,0.0,0.0,0.0
202512-046,UPRO,BUY,2025-12-24 09:13,60.0,119.698,7181.879999999999,br10.8 Add: Generic Scale-In,,0.0,113.71309999999998,B2,0.0,0.0,0.0
202512-045,TQQQ,BUY,2025-12-24 11:14,500.0,55.149,27574.5,br10.8 Add: Generic Scale-In,,0.0,52.391549999999995,B2,0.0,0.0,0.0
202512-045,TQQQ,BUY,2025-12-24 11:14,500.0,55.379,27689.5,br10.8 Add: Generic Scale-In,,0.0,52.610049999999994,B3,0.0,0.0,0.0
202512-045,TQQQ,BUY,2025-12-24 11:53,350.0,55.37,19379.5,br10.8 Add: Generic Scale-In,,0.0,50.9404,B4,0.0,0.0,0.0
202512-045,TQQQ,BUY,2026-01-02 14:15,70.0,54.45,3811.5,br10.8 Add: Generic Scale-In,Added when it failed to trigger the sell signal,0.0,50.09400000000001,A1,0.0,0.0,0.0
202512-045,TQQQ,SELL,2026-01-02 14:18,1920.0,52.12,100070.4,sr8 TQQQ Strategy Exit,Stopped out on choppy environment ,0.0,0.0,SA1,0.0,0.0,0.0
202512-046,UPRO,SELL,2026-01-02 14:18,160.0,115.34,18454.4,sr8 TQQQ Strategy Exit,Stopped out on choppy environment ,0.0,0.0,SB2,0.0,0.0,0.0
202601-001,TQQQ,BUY,2026-01-06 12:07,177.0,54.67,9676.59,br3.2 Reclaim 50s,,0.0,53.0,B1,,,
