Day,Status,Market Window,> 21e,Cash -/+,Beg NLV,End NLV,Daily $ Change,Daily % Change,% Invested,SPY,Nasdaq,Market_Notes,Market_Action,Score,Highlights,Lowlights,Mistakes,Top_Lesson
2026-02-10,U,Open,0,0.0,108364.0,108364.0,990026.05,913.90%,0.0,692.1199951171875,23102.4707,Nasdaq get rejected at the 21e. High beta stocks sell off ,,5,,,,
2026-02-09,U,Open,0,0.0,108364.0,108364.0,8.580000000001746,0.01%,0.0,694.0499877929688,23238.66992,,,4,,Was chasing some old names that I like,Be patient. Remove FOMO. It is ok to miss a move. ,
2026-02-06,U,Open,0,0.0,108364.0,108364.0,0.0,0.00%,0.0,690.6199951171875,23031.21289,Market rebounds from hard selling. Is this the low?,No Change,3,Stayed calm ,Could've done so much better. ,,
2026-02-05,U,Open,0,0.0,108364.0,108364.0,-7.63,-0.01%,0.0,677.6199951171875,22540.58594,Market window officials closed. The selling intensifies ,,1,,Terrible trading. Continued FOMO,Bought PL when market window was closed. ,Conviction to go defensive earlier. 
2026-02-04,U,Open,0,0.0,112953.45,108364.0,-4624.45,-4.09%,0.0,686.1900024414062,22904.58008,Growth stocks get hit hard. Nasdaq tumbles again,SELL: TQQQ,1,,Couldn't stay disciplined. Bought stocks and wasn't supposed to,,Stay discipline. Don't have FOMO
2026-02-03,U,Open,0,0.0,118505.33,112953.45,-5551.88,-4.68%,95.85895782731735,689.5300293,23255.18555,Market tumbles again. Memory and Space Themes working,SELL: UPRO,5,,,,
2026-02-02,U,Open,0,0.0,115371.23,118505.33,3134.100000000006,2.72%,100.76930716955938,695.4099731445312,23592.10742,Market rebounds to start the week,No Change,5,Executed plan very well,,,
2026-01-30,U,Open,0,0.0,120637.39,115371.23,-5266.16,-4.37%,100.78855881141251,691.9699707,23461.82031,Heavy market sell off of beta stocks. Portfolio rocked ,No Change,2,,No offensive selling,Need to me more aggressive in selling offensively ,Got to start big and take profit 
2026-01-29,U,Open,0,0.0,123141.03,120637.39,-2503.64,-2.03%,100.75234552073782,694.0700073242188,23685.12109,Market got rocked on no apparent macro news ,No Change,4,,,,
2026-01-28,U,Open,0,0.0,121051.53,123141.03,2089.5,1.73%,109.5402564035724,695.5599975585938,23857.44727,Market surges higher. FOMC leaves rate unchanged,No Change,5,,,,
2026-01-27,U,Open,0,0.0,118933.65,121051.53,2117.88,1.78%,110.5306145,695.5050049,23817.09766,Market rebounds. High beta stocks shine,ADD: TQQQ,5,,,,
2026-01-26,U,Open,0,0.0,116860.48,118933.65,2073.17,1.77%,100.3475467,692.7600098,23601.35742,Indices marching higher. Space names clobbered. ,No Change,5,,,,
2026-01-23,U,Open,0,0.0,116367.21,116860.48,493.27,0.42%,100.3538579,689.2299805,23501.24414,High beta stocks sell off while market is flat ,No change,5,,,,
2026-01-22,U,Open,0,0.0,113953.75,116367.21,2413.46,2.12%,100.3547305,688.9799805,23436.01953,Market follows up from yesterday recovery,No change,4,Followed rules,stops are too obvious,,Need to assume pb to top of base in determining stops
2026-01-21,U,Open,0,0.0,109648.96,113953.75,4304.79,3.93%,100.3626471,685.4000244,23224.82422,"Bullish, broad rebound on Greenland framework of deal",No change,3,,,,
2026-01-20,U,Open,0,0.0,116973.95,109648.96,-7324.99,-6.26%,100.376693,677.5599976,22954.32227,Market tanks on DT Tweet about EU tariffs,No Change,5,Did not panic on market sell off day. Followed rules,,,Have a plan for big red day and execute. 
2026-01-16,U,Open,0,0.0,117290.5,116973.95,-316.55,-0.27%,100.3522579,691.6599731,23515.38672,Indices are flat again. High beta stocks still flying,No Change,4,Overall followed rules,Too quick selling LEU,Better way to reduce exposure,
2026-01-15,U,Open,0,0.0,115289.65,117290.5,2000.85,1.74%,100.281779,692.2399902,23530.02148,Market gaps up and sells off. ,No Changes,5,Traded well today. ,,,
2026-01-14,U,Open,0,0.0,119497.01,115289.65,-4207.36,-3.52%,100.865082,690.36,23471.75,Market sells off. Mags 7 continues to tank,No Changes,2,,Emotional. Too much action. FOMO,Buying stocks that stopped out due to FOMO,Respect the levels and stops. 
2026-01-13,U,Open,0,0.0,120218.34,119497.01,-721.33,-0.60%,100.8167485,693.7700195,23709.87305,Market Volatile and flat after CPI Data,,5,,,,
